question,level
Describe any two component which can be manufactured by only powder metallurgy technique.,Knowledge
Explain in details various types of Relays and Electric Encoders used Printing Industries.,Knowledge
Derive the relation between unit step function and unit ramp function.,Analysis
How Defects are managed?,Knowledge
A bolt is subjected to an axial pull of 40 KN and a transverse shear force of 15 KN.,Application
Write sudo code for inserting a node in binary search tree.,Application
Discuss in detail the studies to be carried out in reservoir areas of a dam.,Knowledge
Construct heap data structure to sort the following set of no.,Application
What is software SCM repository?,Knowledge
Explain the construction and working of linear induction motor with the help of suitable diagrams.,Comprehension
Illustrate negative indexing in list with an example.,Comprehension
What are the classification of transducers? Explain any 2 in detail.,Knowledge
Describe the software quality dilemma in your own words.,Analysis
Explain different types of flames with neat sketches in gas welding process.,Knowledge
What are the Components of pneumatic and hydraulic systems?,Knowledge
What are different Process management system calls in Linux.,Knowledge
A three hinged parabolic arch having supports at different levels as shown in figure 6.,Analysis
Explain the project management life cycle.,Knowledge
Write Short notes on industrial robotic application of Light Curtains and Laser Area Scanner.,Knowledge
What is the need of electric vehicle?,Comprehension
Find the slope of the free water surface in a rectangular channel of width 20m having depth of flow 6m.,Application
Discuss factors affecting the durability of concrete.,Comprehension
Write a Java program to accept values inside the multidimensional array.,Application
Explain the Standard Marking System of a grinding wheels.,Knowledge
Draw the block diagram of a regulated dc power supply and explain the function of each block in it.,Knowledge
Explain with suitable example BSF and DSF traversal of graph.,Knowledge
What is multithreading?,Knowledge
Explain Linked List class with an example.,Application
Explain ‘Core of the Section’ and obtain a core section for a hollow circular column of external and internal diameter ‘D’ and ‘d’ respectively.,Analysis
Explain the function of 78XX and 79XX voltage regulator.,Comprehension
List down and explain in brief the screen frame purpose and requirement.,Knowledge
Sketch the polar plot for.,Analysis
What are types of memory fragmentation?,Knowledge
Write short note on design activism.,Comprehension
Compare single phase HWR and single phase FWR.,Knowledge
Explain the following file organization techniques.,Comprehension
If three coins are tossed.,Application
What is the ambiguity that arises in multiple inheritance?,Analysis
"A trapezoidal channel has side slope of 3 horizontal to 4  vertical and slope of its bed is 1 in 2000. Determine the optimum dimensions for thechannel sections and show it with neat sketch, if it is carry water at  0.55m 3/s. Take Chezy’s constant as 80.",Application
The Connective tissue connects and supports the entire human body.,Knowledge
State any four applications of DC Series motor.,Comprehension
Explain the use of profile projector with neat sketch.,Knowledge
Draw and explain the interfacing of LCD with Port D and Port E of PIC18FXX microcontroller.,Analysis
Explain various socket primitives used in connection oriented client server approach.,Knowledge
Write a short note on thermocouple.,Comprehension
Obtain regression line of the following data.,Application
What are the different laws of Radiation?,Knowledge
What are the assumption of BET theory of adsorption?,Knowledge
Explain the following concept.,Knowledge
Write algorithms to create and delete a segment.,Knowledge
Derive the relation between heat of reaction at constant pressure and at constant volume mentioned the three case of it.,Knowledge
Derive the expression for a minimum number of teeth on gear wheel required to avoid interference with neat sketch.,Analysis
Explain applications and selection criterion of valves in robotics and automation systems.,Knowledge
Define stack as an ADT.,Knowledge
Calculate ABCD constants for three phase 50 Hz transmission line with following line parameters.,Application
What is CAD customization?,Knowledge
Explain the properties of solid insulating material.,Knowledge
What do you mean by:,Knowledge
What is semiconductor memory?,Knowledge
Discuss in detail preliminary geological investigations of tunneling.,Knowledge
Write a short note on survey for drainage line work?,Knowledge
Explain carnot cycle with neat diagram.,Knowledge
Write down a C++ program for copy constructor for string class.,Application
Difference between Rankin cycle and Carnot cycle.,Knowledge
Discuss various types of flow with example.,Knowledge
What is file mode?,Knowledge
"A tightly stretched string with fixed ends x = 0 and  x = l is initially at rest in its equilibrium position is set to vibration by giving each point a velocity 3x(l – x) for 0 < x < l. Find the displacement y(x, t) at any time t.",Application
Define Basic work content.,Knowledge
Explain the various factors affecting corrosion.,Comprehension
What is landslides? What are the causes of it?,Knowledge
Write a note on Embedded and Dynamic SQL.,Knowledge
Enlist the documents to be submitted for seeking commencement certificate and occupancy certificate.,Knowledge
Why chucks are used?,Knowledge
What is fire escape and explain any one fire escape elements?,Comprehension
Explain the concept of current mirror circuit?,Knowledge
Explain the various types of errors that take place in wattmeter.,Analysis
Explain how the verticality of tall building is checked?,Application
Explain the internal diagram of IC 7490.,Knowledge
A centrifugal pump having outer diameter equal to two times the inner diameter and running at 1000 r.,Application
Explain the working of functional block diagram of IC 555 Timer.,Knowledge
What is mean by Governing system and explain all types of governing systems?,Knowledge
"An infinitely long uniform metal plate is enclosed between lines y = 0, and y = l for x > 0. The temperature is zero along the edges y = 0, y = l, and at infinity. If edge x = 0 is kept at a constant temperature 0,v Find the temperature distribution ,.vxy",Application
Use fourier transform to solve.,Analysis
Differentiate Between Flame Hardening and Induction hardening.,Analysis
What are the salient features of vegetable market building.,Knowledge
Explain effective diameter measurement by three wire method.,Knowledge
Explain in detail with Diagram.,Analysis
Draw and explain the Von Neumann architecture.,Knowledge
Explain screw compressor with neat sketch.,Comprehension
Determine the principal stress in the beam at point A.,Application
Explain the difference between standard concrete and special concrete.,Analysis
Draw and explain Block diagram of an adjustable three terminal positive voltage regulator.,Comprehension
